hon_stake = 0.95
f         = 0.05
delta     = 5
w         = 25000
Probability of honest success: 0.0475604
Effective rate of honest advancement: 0.0399586
Adversarial stake ratio: 0.05
Adversarial success probability: 0.00256138
...equal to expected rate of adversarial advancement: 0.00256138
Evolution beginning...
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1630, density: 1.36416e-20)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1640, density: 1.04183e-20)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1650, density: 7.95681e-21)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1660, density: 6.07698e-21)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1670, density: 4.64135e-21)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1680, density: 3.54494e-21)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1690, density: 2.70758e-21)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1700, density: 2.06805e-21)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1710, density: 1.5796e-21)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1720, density: 1.20654e-21)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1730, density: 9.21605e-22)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1740, density: 7.03969e-22)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1750, density: 5.37737e-22)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1760, density: 4.10765e-22)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1770, density: 3.13778e-22)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1780, density: 2.39695e-22)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1790, density: 1.83106e-22)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1800, density: 1.39879e-22)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1810, density: 1.06859e-22)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1820, density: 8.16347e-23)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1830, density: 6.23656e-23)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1840, density: 4.76454e-23)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1850, density: 3.64002e-23)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1860, density: 2.78095e-23)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1870, density: 2.12466e-23)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1880, density: 1.62327e-23)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1890, density: 1.24022e-23)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1900, density: 9.47571e-24)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1910, density: 7.23988e-24)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1920, density: 5.53168e-24)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1930, density: 4.22657e-24)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1940, density: 3.22943e-24)
